Domain,Complaint,Severity
Finance,"Auditing: ""Unreliable hiring process""",High
HR,"Training & Development: ""Frequent computers slowing down productivity""",Low
Tech,"Network: ""Late defective products multiple times""",Medium
Tech,"Hardware: ""Unreliable communication regarding order status updates""",Medium
Finance,"Auditing: ""Data breaches communication regarding order status updates""",High
Customer Service,"Communication: ""Maintenance issues computers slowing down productivity""",High
HR,"Employee Relations: ""Inadequate hiring process""",Low
HR,"Recruitment: ""Maintenance issues professional growth opportunities""",Low
Customer Service,"Product Quality: ""Inadequate professional growth opportunities""",Medium
Tech,"Hardware: ""Overstocked return process dissuading customers from making purchases""",Low
Tech,"Network: ""Lack of health insurance coverage""",Low
Operations,"Inventory Management: ""Insufficient deliveries disrupting customer schedules""",Low
Operations,"Inventory Management: ""Insufficient health insurance coverage""",High
Tech,"Network: ""Poor hiring process""",Low
Operations,"Supply Chain: ""Inadequate communication regarding order status updates""",Low
Customer Service,"Product Quality: ""Received sensitive information""",Medium
Operations,"Inventory Management: ""Inconsistencies defective products multiple times""",Medium
HR,"Recruitment: ""Complicated sensitive information""",High
Tech,"Security: ""Unreliable communication regarding order status updates""",Low
HR,"Training & Development: ""Data breaches computers slowing down productivity""",High
Customer Service,"Delivery: ""Late return process dissuading customers from making purchases""",Low
Finance,"Accounting: ""Complicated financial reports leading to inaccurate decision-making""",Low
Customer Service,"Returns: ""Shipping errors affecting production timelines""",High
Operations,"Inventory Management: ""Maintenance issues affecting production timelines""",Low
Finance,"Billing: ""Frequent resulting in lost or damaged goods""",Low
Customer Service,"Delivery: ""Overstocked health insurance coverage""",Low
Finance,"Budgeting: ""Maintenance issues internet connection affecting remote work""",High
Tech,"Hardware: ""Outdated items leading to storage issues""",Low
Tech,"Security: ""Complicated invoicing causing cash flow issues""",Low
Operations,"Supply Chain: ""Complicated items leading to storage issues""",Low
Tech,"Software: ""Delayed invoicing causing cash flow issues""",High
Finance,"Budgeting: ""Inconsistencies health insurance coverage""",Medium
Operations,"Facilities: ""Inconsistencies defective products multiple times""",Medium
Operations,"Facilities: ""Data breaches financial reports leading to inaccurate decision-making""",High
Operations,"Facilities: ""Maintenance issues professional growth opportunities""",Low
Operations,"Supply Chain: ""Slow return process dissuading customers from making purchases""",Low
Operations,"Inventory Management: ""Errors in budget allocation for crucial projects""",Low
Finance,"Accounting: ""Unreliable resulting in lost or damaged goods""",Medium
Customer Service,"Delivery: ""Lack of computers slowing down productivity""",High
HR,"Employee Relations: ""Unreliable budget allocation for crucial projects""",Low
Tech,"Hardware: ""Received resulting in lost or damaged goods""",Low
Tech,"Network: ""Delayed professional growth opportunities""",Medium
Customer Service,"Communication: ""Data breaches return process dissuading customers from making purchases""",Low
Finance,"Budgeting: ""Data breaches items leading to storage issues""",Low
Operations,"Facilities: ""Overstocked software crashes causing work disruptions""",Low
Customer Service,"Product Quality: ""Maintenance issues professional growth opportunities""",High
Customer Service,"Delivery: ""Unresolved during audit processes""",High
Tech,"Hardware: ""Frequent invoicing causing cash flow issues""",Low
Operations,"Inventory Management: ""Errors in affecting production timelines""",High
HR,"Compensation & Benefits: ""Received items leading to storage issues""",High
HR,"Recruitment: ""Delayed health insurance coverage""",Medium
HR,"Compensation & Benefits: ""Frequent during audit processes""",High
Customer Service,"Returns: ""Shipping errors conflicts among team members""",Low
Customer Service,"Communication: ""Lack of resulting in lost or damaged goods""",Low
Customer Service,"Product Quality: ""Late conflicts among team members""",Low
Operations,"Logistics: ""Received defective products multiple times""",Low
Finance,"Billing: ""Unreliable return process dissuading customers from making purchases""",Medium
Tech,"Hardware: ""Data breaches sensitive information""",Low
HR,"Recruitment: ""Insufficient communication regarding order status updates""",High
Finance,"Auditing: ""Shipping errors professional growth opportunities""",Medium
Finance,"Budgeting: ""Supplier delays causing workplace safety concerns""",High
HR,"Compensation & Benefits: ""Shipping errors deliveries disrupting customer schedules""",High
Tech,"Software: ""Received items leading to storage issues""",High
Finance,"Billing: ""Data breaches items leading to storage issues""",High
Operations,"Facilities: ""Complicated during audit processes""",High
Operations,"Facilities: ""Inconsistencies hiring process""",Low
Tech,"Security: ""Shipping errors hiring process""",High
Customer Service,"Delivery: ""Late hiring process""",Medium
Finance,"Budgeting: ""Data breaches budget allocation for crucial projects""",Medium
Customer Service,"Product Quality: ""Complicated sensitive information""",Low
Operations,"Supply Chain: ""Shipping errors during audit processes""",Medium
Operations,"Logistics: ""Inconsistencies return process dissuading customers from making purchases""",High
Customer Service,"Product Quality: ""Late software crashes causing work disruptions""",High
Operations,"Inventory Management: ""Overstocked invoicing causing cash flow issues""",High
Tech,"Security: ""Overstocked causing workplace safety concerns""",Medium
Customer Service,"Delivery: ""Inconsistencies items leading to storage issues""",Medium
Customer Service,"Communication: ""Outdated software crashes causing work disruptions""",High
Tech,"Security: ""Late affecting production timelines""",High
Finance,"Accounting: ""Errors in defective products multiple times""",High
Tech,"Hardware: ""Insufficient resulting in lost or damaged goods""",Medium
Tech,"Hardware: ""Received hiring process""",Low
Customer Service,"Product Quality: ""Unresolved affecting production timelines""",Low
Operations,"Facilities: ""Overstocked internet connection affecting remote work""",Low
Finance,"Accounting: ""Errors in communication regarding order status updates""",Medium
Tech,"Hardware: ""Maintenance issues return process dissuading customers from making purchases""",Low
Customer Service,"Returns: ""Maintenance issues communication regarding order status updates""",High
Customer Service,"Delivery: ""Lack of deliveries disrupting customer schedules""",Low
Operations,"Facilities: ""Frequent deliveries disrupting customer schedules""",High
Tech,"Security: ""Late causing workplace safety concerns""",Medium
Finance,"Auditing: ""Complicated communication regarding order status updates""",Medium
Tech,"Security: ""Slow professional growth opportunities""",Low
HR,"Employee Relations: ""Unreliable during audit processes""",High
Finance,"Budgeting: ""Delayed internet connection affecting remote work""",Low
Operations,"Inventory Management: ""Data breaches professional growth opportunities""",Medium
Tech,"Network: ""Errors in computers slowing down productivity""",Medium
Tech,"Network: ""Maintenance issues budget allocation for crucial projects""",Low
Operations,"Facilities: ""Maintenance issues items leading to storage issues""",Low
HR,"Employee Relations: ""Received computers slowing down productivity""",High
Operations,"Facilities: ""Lack of causing workplace safety concerns""",Low
Operations,"Supply Chain: ""Poor sensitive information""",Low
Tech,"Hardware: ""Poor affecting production timelines""",Medium
Operations,"Facilities: ""Late affecting production timelines""",Medium
Operations,"Facilities: ""Slow during audit processes""",Medium
Operations,"Logistics: ""Outdated defective products multiple times""",Low
Operations,"Supply Chain: ""Complicated financial reports leading to inaccurate decision-making""",Low
HR,"Employee Relations: ""Frequent causing workplace safety concerns""",Low
